动物
狗
猫
鱼
鸟
牛
猪
鼠
马
翅膀
运输
火车
飞机
汽车
卡车
自行车
公共汽车
船
轮船
轮胎
汽油
发动机
票
地点
城市
房子
公寓
街道
飞机场
火车站
桥
酒店
餐馆
农场
法院
学校
办公室
房间
镇
大学
俱乐部
酒吧
公园
营地
商店
剧院
图书馆
医院
教会
市场
国家
建筑物
地面
太空
银行
衣服
帽子
连衣裙
西服
裙子
衬衫
T恤
裤子
鞋子
口袋
大衣
污渍
颜色
红色
绿色
蓝色
黄色
棕色
粉色
橙色
黑色
白色
灰色
人
儿子
女儿
妈妈
爸爸
父母
孩子
婴儿
男人
女人
兄弟
姐妹
家庭
爷爷
奶奶
丈夫
妻子
王
女王
总统
邻居
男孩
女孩
成人
人类
朋友
受害者
选手
粉丝\(\)
人群
工作
教师
学生
律师
医生
病人
服务员
秘书
牧师
警察
军队
军人
艺术家
作者
经理
记者
演员
宗教
天堂
地狱
死亡
药
钱
美元
账单
婚姻\(\)
婚礼
团队
关系
种族
性交
性别
谋杀
监狱
技术
能源
战争
和平
攻击
选举
杂志
报纸
毒
枪
运动
赛跑
锻炼
球
游戏
价格
合同
毒品
标识
科学
上帝
食物
鸡蛋
起司
面包
汤
蛋糕
鸡肉
猪肉
牛肉
苹果
香蕉
橙子
柠檬
玉米
米饭
油
种子
刀
勺子
叉子
盘子
杯子
早餐
午餐
晚餐
糖
盐
瓶子
桌子
椅子
床
梦
窗户
门
卧室
厨房
浴室
铅笔
钢笔
照片
肥皂
书
页
钥匙
油漆
信
笔记
墙
纸
地板
天花板
屋顶
游泳池
锁
电话
花园
院子
针
包
箱子
礼物
卡片
戒指
工具
时钟
灯
扇子\(\)
手机
网络
电脑
程序
手提电脑
屏幕
相机
电视
收音机
身体
头
脖子
脸
胡子
头发
眼睛
嘴
嘴唇
鼻子
牙齿
耳朵
眼泪
舌头
背
脚趾
手指
脚
手
腿
手臂
肩膀
心
血
脑
膝盖
汗
疾病
骨头
声音
皮肤
自然
海
海洋
河
山
雨
雪
树
太阳
月亮
世界
地球
森林
天空
植物
风
土壤
花
谷
根
湖
星
草
叶
空气
沙
海滩
海浪
火
冰
岛
丘
热度
材料
玻璃
金属
塑料
木
石
钻石
黏土
灰尘
金
银
铜
米
厘米
公斤
英吋
英尺
磅
半
圆形
方形
温度
日期
重量
边缘
角落
地图
点
辅音
元音
光
声
是
否
片
疼痛
受伤
洞
图片
图案
名词
动词
形容词
方向
顶部
底部
旁边
前
后
外
里
上
下
左
右
一直
北
南
东
西
季节
春天
夏天
秋天
冬天
数字
一
二
三
四
五
六
七
八
九
十
十一
十二
十三
十四
十五
十六
十七
十八
十九
二十
二十一
二十二
三十
三十一
三十二
四十
四十一
四十二
五十
五十一
五十二
六十
六十一
六十二
七十
七十一
七十二
八十
八十一
八十二
九十
九十一
九十二
一百
一百零一
一百零二
一百一十
一百一十一
一千
一千零一
一万
十万
百万
十亿
第一
第二
第三
第四
第五
一月
二月
三月
四月
五月
六月
七月
八月
九月
十月
十一月
十二月
星期一
星期二
星期三
星期四
星期五
星期六
星期日
时间
年
月
星期
天
小时
分钟
秒钟
上午
下午
晚上
夜晚
艺术
乐队
歌
乐器
音乐
电影
饮料
咖啡
茶
酒
啤酒
果汁
水
牛奶
工作
玩
走路
跑步
开车
飞
游泳
去
停
跟
想
说
吃
喝
杀
死
微笑
笑
哭
买
付钱
卖
设计
学习
跳
闻
听见
听
尝
触摸
看见
看
亲吻
燃烧
融化
挖
爆炸
坐
站
爱
经过
剪
打架
躺
跳舞
睡觉
上午
歌
数
结婚
祈祷
赢
输
搅拌
弯去
洗
煮
打开
关闭
写
打电话
转动
建造
教
生长
画
喂养
抓
丢
打扫
找
摔倒
推
拉
携带
碎
穿
挂
摇
标示
打
举起
长
短
高
矮
宽
窄
大
小
慢
快
热
冷
温暖
凉快
新
旧
年轻
年老
好
坏
湿
干
生病
健康
响
安静
开心
难过
美丽
丑
聋
瞎
善良
吝啬
富有
贫穷
厚
薄
贵
便宜
平
弯
男性
女性
紧
松
高
低
软
硬
深
浅
干净
脏
强壮
虚弱
死亡
活着
重
轻
黑暗
明亮
核心
著名
我
你
他
她
它
我们
你们
他们
晚饭
住
去世
意思
喜欢
读
养
中饭
同志
同学
明天
来
栏杆
拿
照顾
希望
事
着急
自己人
可怜
电话号码
岁
考试
洋葱
菽
姜
椒
饿
做
雾
笼罩
旷野
儿童
营房
思
摆
筷
洗手间
叫
检查
壁虱
跳蚤
砖
修理
墨西哥
大家
欢迎
收听
国际
新闻
用
鹰嘴豆
粉
面
要
面粉
错误
增加
过去
现在
高兴
回来
告诉
字典
生气
课
煤
番茄酱
论调
聪明
停车场
东西
请
今天
送
起床
打 (2)
鳄梨
知道
昨天
苦
熬
种
季
稻子
负责
科幻
监考
化学
春假
足球
出产
星期天
聚会
语言
担心
凶
精神
开始
不错
胃口
塞拉利昂
骑
企划
大白菜
茶壶
老虎
梅花
讨论
草莓酱
稻草
鲜花
保险柜
交叉点
认识
您
交谈
人民
敌
速度
唱歌
日本
出来
选举权
原则
权利
介绍
留学生
毛衣
可爱
戴
眼镜
手套
大会
完
雨季
旱季
害臊
演出
成功
听讲
质量
抱歉
重要
讲话
部分
影响
心脏
黄豆
父亲
尊敬
外卖
问题
复杂
计划
注重
结果
刻苦
讨厌
数学
有趣
简单
自私
觉得
难受
往
移
红萝卜
帅
套鞋
舒服
烟
遥望
风筝
等
不耐烦
瘦
明显
感觉
孤单
退休
像
怕
感谢
懂
信
想念
会员
学者
支持
口香糖
妹妹
取得
耳环
你贵姓？
名胜
古迹
排队
将来
机会
再见
搬
嗓子
修路
认真
打烊
旷课
迟到
刊物
内部
抽烟
借
帮助
交
作业
适应
马上
注册
奇怪
组合
武警
算
正常
陆军
军官
同屋
辣
课程
举止
礼貌
让
粗
洗澡
念
周末
饺子
放
离开
给
一本
了
那些
跟
的
在
每天
上个
只
一个
三年
八个钟头
那本
很
有
的
谁
吗
已经
了
着
呢
过
这
哪
们
自己
一定
得
把
住
自己
可是
自己
不用
管
咱们
都
的
的
两
两
零
左右
块
差不多
以上
之上
以下
以内
多
分之
百分之
点
半
碗
需要
所
半
倍
比
折
一
就
什么
没
种
这儿
那儿
这儿
到
那儿
能
这里
那里
哪
哪
看起来
样子
不过
还
个
块
毛
分
很多钱
几
的
与
从
的
刚
之后
这次
之前
之内
他高
那本书贵
哪个学校大
不
吗
不
真
比较
相当
特别
非常
尤其
对
极其
太
更
最
得很
得不得了
一点
可以
还要
很
比
没有
又
双
越来越
越
了
太 + 了
其实
不
没
很
了
点钟
将
是
是
姓
有
不
边
会
不
可以
可以
才
必须
必得
应该
地
该
应当
不必
不可以
不能
不许
不
不
很
吗
如果
但
了
了
过
从来
没
过
不
了没有
在
着
呢
着
吧
本
张
枝
所
只
辆
把
部
件
棵
个
杯
斤
毛
碗
条
块
瓶
壶
束
分
元
角
处
项
副
场
股
颗
双
根
名
支
位
节
道
新华社
北京
本
不客气
菜
出租车
对不起
多少
饭馆
汉语
和
后面
回
家开
開
老师
老師
名字
名字
那
那
家
家
开
開
漂亮
漂亮
前面
前面
日
日
少
少
时候
時候
没关系
沒關係
说话
說話
天气
天氣
喂
喂
水果
水果
下雨
下雨
先生
先生
小姐
小姐
些
些
谢谢
謝謝
怎么
怎麼
怎么样
怎麼樣
字
字
中国
中國
白
白
百
百
别
別
中午
中午
出
出
次
次
错
錯
打篮球
打籃球
但是
但是
弟弟
弟弟
哥哥
哥哥
公司
公司
